amount,amount_ratio_to_typical,amount_zscore,is_new_device,is_new_payment_method,is_unusual_hour,hour_sin,hour_cos,recent_failed_count,customer_fail_ratio,velocity_1h,velocity_24h,secs_since_last_log,device_shared_count,is_risky,event_ts
893.19,1.0,0.0,0,0,0,-0.866,0.5,0,0.0,0,0,14.768,0,0,1767221166.040311
351.61,1.0,0.0,0,0,0,0.0,-1.0,0,0.0,0,0,14.768,0,0,1767221675.316411
4015.03,1.0,0.0,0,0,1,0.866,0.5,0,0.0,0,0,14.768,0,0,1767222749.826839
358.22,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1767222986.031436
534.64,1.0,0.0,0,0,0,0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767223268.521466
715.02,1.0,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767223651.503272
342.46,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1767223672.454022
2562.92,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1767223797.613529
7778.47,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1767224527.99035
1521.09,1.0,0.0,0,0,0,-0.9659,0.2588,0,0.0,0,0,14.768,0,1,1767224532.215099
1259.51,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1767224556.487767
164.15,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767224733.873372
1133.28,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767224977.179634
801.82,1.0,0.0,0,0,0,-0.866,0.5,0,0.0,0,0,14.768,0,0,1767225025.511118
964.36,1.203,0.0,1,0,0,-0.7071,0.7071,0,0.0,1,1,5.198,0,0,1767225205.511118
410.21,1.0,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767225503.236324
781.25,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1767226037.697897
854.69,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1767228349.099928
1894.74,1.0,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,0,14.768,0,1,1767228770.85162
1460.48,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767229355.994503
1375.17,1.0,0.0,0,0,0,0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767230311.999688
4259.6,1.0,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767230471.686334
2690.11,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767230528.01039
1056.96,1.0,0.0,0,0,0,0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767231662.400135
4137.36,1.0,0.0,0,0,0,-0.5,0.866,0,0.0,0,0,14.768,0,0,1767232271.534493
794.2,1.0,0.0,0,0,0,-0.866,0.5,0,0.0,0,0,14.768,0,0,1767232424.639899
2344.63,1.0,0.0,0,0,0,-0.7071,0.7071,0,0.0,0,0,14.768,0,0,1767232656.24777
5177.74,1.0,0.0,0,0,0,-0.866,-0.5,0,0.0,0,0,14.768,0,0,1767232707.342117
3027.96,1.0,0.0,0,0,0,-0.2588,0.9659,0,0.0,0,0,14.768,0,0,1767233358.200431
310.64,1.0,0.0,0,0,0,-0.2588,0.9659,0,0.0,0,0,14.768,0,0,1767233503.347692
840.96,0.942,0.0,0,0,0,-0.9659,0.2588,0,0.0,0,1,9.436,0,0,1767233692.726457
1287.59,0.058,0.0,0,0,0,-0.9659,0.2588,0,0.0,0,1,9.726,0,0,1767234208.164261
4177.18,1.0,0.0,0,0,0,-0.866,-0.5,0,0.0,0,0,14.768,0,0,1767234517.490444
1271.47,1.0,0.0,0,0,0,-0.866,-0.5,0,0.0,0,0,14.768,0,0,1767235487.059895
518.46,1.0,0.0,0,0,0,-0.5,0.866,0,0.0,0,0,14.768,0,0,1767236580.730937
255.09,0.357,0.0,0,1,0,0.2588,-0.9659,0,0.0,0,1,9.496,0,0,1767236962.777113
1487.18,1.0,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767237236.344616
2789.81,1.0,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767237333.827931
1015.84,1.0,0.0,0,0,0,-0.866,0.5,0,0.0,0,0,14.768,0,0,1767237638.305331
1379.54,1.0,0.0,0,0,0,-0.5,0.866,0,0.0,0,0,14.768,0,0,1767238057.082852
4707.21,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,1,0,1767238275.156788
643.02,1.0,0.0,0,0,0,-0.866,0.5,0,0.0,0,0,14.768,0,0,1767238466.832342
1662.12,1.0,0.0,0,0,0,1.0,0.0,0,0.0,0,0,14.768,1,0,1767238742.46762
688.94,0.704,0.0,1,1,0,0.0,-1.0,0,0.0,0,0,13.07,0,0,1767240737.179339
899.52,1.41,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,1,10.062,1,0,1767241817.776481
1768.65,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1767241941.077731
1881.32,0.884,0.0,0,0,0,0.0,-1.0,0,0.0,0,1,10.173,0,0,1767242244.174828
1090.4,1.0,0.0,0,0,0,0.0,-1.0,0,0.0,0,0,14.768,0,0,1767242683.13857
1185.66,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1767242821.927882
5804.33,1.0,0.0,0,0,0,-0.5,0.866,0,0.0,0,0,14.768,0,0,1767242945.143126
11495.0,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767243994.305804
740.66,1.0,0.0,0,0,0,-0.2588,0.9659,0,0.0,0,0,14.768,0,0,1767244324.205789
823.26,1.0,0.0,0,0,0,-0.866,-0.5,0,0.0,0,0,14.768,0,0,1767244393.898028
784.66,1.0,0.0,0,0,0,-0.2588,0.9659,0,0.0,0,0,14.768,0,0,1767244398.797982
3035.16,1.0,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767244492.13259
1145.99,3.199,0.0,0,0,0,0.9659,-0.2588,0,0.0,0,1,9.981,0,0,1767244589.015534
485.71,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1767244812.272996
251.81,1.0,0.0,0,0,0,-0.2588,0.9659,0,0.0,0,0,14.768,0,0,1767245038.800833
193.55,0.665,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,1,10.36,0,0,1767245244.143442
819.02,0.927,-0.788,0,0,0,-0.9659,0.2588,0,0.0,0,2,9.916,0,0,1767245451.816198
244.05,1.0,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767245814.709521
1039.47,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767245961.730589
958.09,1.221,0.0,0,0,0,-0.7071,0.7071,0,0.0,1,1,7.387,0,0,1767246012.519351
1678.93,1.0,0.0,0,0,0,0.0,-1.0,0,0.0,0,0,14.768,1,0,1767246331.5035
2142.08,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767246616.748922
1069.29,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1767246937.645782
1332.18,1.0,0.0,0,0,0,-0.866,-0.5,0,0.0,0,0,14.768,0,0,1767247341.023336
2951.55,1.0,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767247581.561082
238.37,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1767247630.961872
314.01,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1767247833.797957
3082.74,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1767249808.326381
522.97,1.0,0.0,0,0,0,-0.7071,0.7071,0,0.0,0,0,14.768,0,0,1767249816.384329
6287.84,2.453,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,1,10.17,0,0,1767249909.062354
254.13,1.0,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767249975.825384
188.71,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767250107.591779
211.43,0.825,0.0,0,0,0,-0.2588,0.9659,0,0.0,0,1,10.332,0,0,1767250523.602487
995.49,0.087,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,1,8.854,0,0,1767250992.597582
785.47,1.0,0.0,0,0,0,-0.7071,0.7071,0,0.0,0,0,14.768,0,0,1767251035.058666
1559.43,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767251824.691722
1016.43,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767251993.354346
3017.05,1.0,0.0,0,0,0,0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767252000.761049
401.73,0.511,0.0,0,0,0,-0.7071,-0.7071,0,0.0,1,1,7.331,0,0,1767252561.708999
633.54,0.153,0.0,0,0,0,-0.2588,0.9659,0,0.0,0,1,9.925,0,0,1767252712.471326
812.32,1.0,0.0,0,0,0,0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767253503.504017
620.02,1.0,0.0,0,0,0,0.0,-1.0,0,0.0,0,0,14.768,0,0,1767253704.19996
761.24,1.0,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767253843.928653
1357.82,1.0,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767254207.253324
978.66,0.065,0.0,0,0,0,0.9659,-0.2588,0,0.0,0,1,10.494,0,0,1767254402.610809
939.97,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1767254737.299028
1057.82,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767254751.522242
523.8,1.939,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,1,10.518,0,0,1767254802.929147
600.24,1.149,0.0,0,0,0,-0.2588,0.9659,0,0.0,0,1,10.699,0,0,1767255282.675793
570.1,1.0,0.0,0,0,0,0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767255808.371503
244.7,0.292,0.0,0,0,0,1.0,0.0,0,0.0,0,1,10.703,0,0,1767256060.995733
3074.16,1.534,8.706,0,0,0,-0.9659,-0.2588,0,0.0,0,2,9.561,0,0,1767256439.958329
4932.0,0.85,0.0,0,0,0,-0.7071,0.7071,0,0.0,0,1,9.542,0,0,1767256873.289279
319.24,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767257019.416611
294.39,0.736,0.0,1,0,0,-0.866,-0.5,0,0.0,0,1,10.667,0,0,1767257098.329078
958.98,1.101,1.01,0,0,0,-0.2588,0.9659,0,0.0,0,2,9.323,0,0,1767257202.951203
729.96,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767257371.207103
3599.31,1.0,0.0,0,0,0,-0.9659,0.2588,0,0.0,0,0,14.768,0,0,1767257992.644594
1812.92,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767258724.428816
21421.96,26.021,0.0,0,0,0,-0.866,0.5,0,0.0,0,1,9.63,0,0,1767259604.990488
1464.03,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767260672.803857
1135.95,1.0,0.0,0,0,0,-0.7071,0.7071,0,0.0,0,0,14.768,0,0,1767261353.991991
6373.07,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1767261736.60921
1406.23,1.0,0.0,0,0,0,-0.5,0.866,0,0.0,0,0,14.768,0,0,1767263239.483504
1644.18,1.0,0.0,0,0,1,0.866,0.5,0,0.0,0,0,14.768,0,0,1767263347.665814
1424.93,1.516,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,1,9.106,0,0,1767263749.405307
1125.41,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1767264280.968834
4971.82,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767264354.94189
170.06,0.998,0.0,0,0,0,-0.5,-0.866,0,0.0,0,1,10.751,0,0,1767264865.504029
1190.95,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,0,1767265111.707722
2288.92,1.0,0.0,0,0,0,-0.2588,0.9659,0,0.0,0,0,14.768,0,0,1767265140.383086
833.71,0.593,0.0,0,0,0,-0.5,0.866,0,0.0,1,1,7.748,0,0,1767265554.51473
1191.29,1.0,0.0,0,0,0,-0.7071,0.7071,0,0.0,0,0,14.768,0,0,1767265698.621472
693.71,0.324,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,1,9.862,0,0,1767265811.687173
686.02,1.0,0.0,0,0,0,0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767265906.154418
1612.23,0.879,0.0,1,0,0,-1.0,-0.0,0,0.0,0,1,10.733,0,0,1767265918.387942
6377.46,1.0,0.0,0,0,0,1.0,0.0,0,0.0,0,0,14.768,0,0,1767266013.549331
437.61,1.793,0.0,0,0,0,-0.5,-0.866,0,0.0,0,1,9.954,0,0,1767266841.976024
298.2,1.0,0.0,0,0,0,-0.866,0.5,0,0.0,0,0,14.768,0,0,1767266879.416414
359.5,1.0,0.0,0,0,0,0.5,-0.866,0,0.0,0,0,14.768,0,0,1767267366.429996
174.4,1.0,0.0,0,0,0,0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767267760.768273
375.2,0.369,0.0,1,0,0,0.2588,-0.9659,0,0.0,0,1,9.668,0,0,1767267790.982184
500.16,1.0,0.0,0,0,0,-0.866,-0.5,0,0.0,0,0,14.768,0,0,1767267965.745729
1957.42,2.603,3.06,0,0,0,0.866,-0.5,0,0.0,0,2,10.066,0,0,1767268126.699299
1365.29,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1767268158.022873
884.11,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767268666.902527
2011.23,0.688,0.0,0,0,1,0.9659,0.2588,1,1.0,0,1,11.045,0,0,1767268835.93983
1796.12,4.307,0.0,1,1,0,0.2588,-0.9659,0,0.0,0,0,12.166,0,0,1767269220.468734
1490.3,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767269302.443176
601.81,1.112,0.204,0,0,0,0.0,-1.0,0,0.0,0,2,9.508,0,0,1767269533.26941
682.71,0.995,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,1,8.357,0,0,1767270164.577717
3522.06,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767271425.337283
2292.27,1.33,5.142,0,0,0,-0.5,0.866,0,0.0,0,2,8.62,0,0,1767271456.576644
2691.04,0.801,0.0,0,0,0,0.2588,-0.9659,0,0.0,0,1,10.839,0,0,1767271639.344387
777.31,3.261,0.0,0,0,0,0.2588,-0.9659,0,0.0,0,1,10.088,0,0,1767271683.158636
15656.96,1.0,0.0,0,0,0,-0.866,0.5,0,0.0,0,0,14.768,0,0,1767272150.876957
390.18,1.0,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767272203.315092
2752.99,1.0,0.0,0,0,0,-0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767272991.400175
557.23,2.213,0.0,0,0,0,-0.5,0.866,0,0.0,0,1,10.238,0,0,1767272996.323275
492.79,1.0,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767273202.88904
10294.49,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767273274.295957
2847.22,1.0,0.0,0,0,0,0.866,-0.5,0,0.0,0,0,14.768,0,0,1767273618.136351
199.63,0.619,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,1,11.046,1,0,1767273763.415289
11685.79,1.0,0.0,0,0,1,0.9659,0.2588,0,0.0,0,0,14.768,0,0,1767274148.914233
1514.33,4.744,0.0,0,0,0,0.2588,-0.9659,0,0.0,0,1,9.772,0,0,1767274547.848549
1431.09,0.503,0.0,0,0,0,0.2588,-0.9659,0,0.0,1,1,7.327,0,0,1767275137.732016
980.46,0.871,0.0,0,0,0,-0.5,-0.866,0,0.0,0,1,9.296,0,0,1767275178.453976
998.64,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767275804.486618
662.71,1.0,0.0,0,0,0,-0.2588,-0.9659,0,0.0,0,0,14.768,0,0,1767275832.196839
420.63,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767276666.618056
905.6,1.051,0.602,0,0,0,-0.9659,0.2588,0,0.0,0,3,10.352,0,1,1767276773.318499
3210.58,1.815,0.0,0,0,0,0.0,-1.0,0,0.0,0,1,10.46,0,0,1767276828.809329
3960.88,1.591,2.041,0,0,0,-0.7071,-0.7071,0,0.0,1,2,6.215,0,0,1767277328.051578
269.53,0.311,0.0,0,0,0,0.5,-0.866,0,0.0,0,1,10.973,0,0,1767278854.108491
8711.53,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767279094.180329
1032.13,1.0,0.0,0,0,0,-0.9659,0.2588,0,0.0,0,0,14.768,0,0,1767279150.042246
4187.55,1.0,0.0,0,0,0,-1.0,-0.0,0,0.0,0,0,14.768,0,0,1767279237.347761
719.33,1.0,0.0,0,0,0,0.9659,-0.2588,0,0.0,0,0,14.768,0,1,1767279361.075095
444.27,0.875,-0.236,0,0,0,0.5,-0.866,0,0.0,0,2,8.964,0,0,1767279497.068098
636.67,1.0,0.0,0,0,0,0.7071,-0.7071,0,0.0,0,0,14.768,0,0,1767279827.630858
1244.16,1.0,0.0,0,0,0,0.9659,-0.2588,0,0.0,0,0,14.768,0,0,1767280130.697571
655.55,1.023,0.0,0,0,0,-0.7071,-0.7071,0,0.0,0,1,11.215,0,0,1767280548.390695
1296.86,1.0,0.0,0,0,0,-0.9659,0.2588,0,0.0,0,0,14.768,0,0,1767281202.951846
1438.25,1.0,0.0,0,0,0,-0.5,-0.866,0,0.0,0,0,14.768,0,1,1767281217.950071
